"UID","session","treatment","wta.pen","wta.mug","Date","ExperimentalID","SubjectItem","YourNumber","Condition","BirthYear","Gender","Ethnicity","Country","Language","Education","Major","HSSStudent","HSSClasses","IsTalkative","TendsFault","ThoroughJob","IsDepressed","IsOriginal","IsReserved","IsHelpful","Careless","IsRelaxed","Curious","Energy","Quarrels","Reliable","Tense","Ingenious","Enthusiasm","Forgiving","Disorganized","Worries","Imagination","Quiet","Trusting","TendsLazy","Stable","Inventive","Assertive","ColdAloof","Perseveres","Moody","Artistic","Shy","Considerate","Efficient","Calm","PrefersRoutine","Outgoing","Rude","FollowsThrough","Nervous","Reflect","FewArtistic","Cooperate","Distracted","Sophisticated","theMugBid","thePenBid","WillingToPay","LikeBetterSubjectItem","ThinkOtherItem","ThinkSubjectItem","ThinkMoreAboutSubjectItem","leaveWithItem","leaveWithLess","BDMItem","BDMPrice","Female","HighTreat","Age","Day"
"14C12","14_friday_11.30","MH",0.825,1.815,"10-09-2015",241,"mug",8,"MH",1996,"M","Caucasian","United States","English","College","Classics",FALSE,"",4,2,4,2,4,4,5,2,4,5,4,1,5,2,5,5,5,4,1,5,4,4,1,5,4,3,2,4,3,4,2,5,4,4,4,4,1,4,2,5,2,5,4,5,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,4
"14C4","14_friday_11.30","ML",4.125,8.745,"10-09-2015",161,"mug",1,"ML",1996,"M","Caucasian","United States","English","College","Molecular and Cellular Bio",FALSE,"",2,4,5,2,3,4,3,2,5,4,4,1,5,3,3,2,4,5,2,2,4,4,3,5,2,2,4,5,3,3,5,2,2,5,4,2,3,4,4,3,4,4,5,2,"000","000","0","0","0","0","0","000","000","000","000",0,0,19,4
"14C5","14_friday_11.30","ML",2.475,6.765,"10-09-2015",171,"mug",1,"ML",1995,"F","Caucasian","United States","Russian","College","Physics",FALSE,"",3,3,4,2,4,2,4,4,2,4,3,1,3,4,4,5,5,2,5,5,2,4,3,1,3,3,2,4,5,5,4,3,3,3,2,3,3,3,3,5,2,4,4,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,20,4
"14C6","14_friday_11.30","MH",8.085,9.57,"10-09-2015",181,"mug",8,"MH",1995,"F","Asian","United States","English","College","East Asian Studies",FALSE,"",3,4,5,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3,3,3,4,4,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,4
"14C7","14_friday_11.30","MH",0.825,6.435,"10-09-2015",191,"mug",8,"MH",1996,"M","Caucasian","Poland","Polish","College","Applied Math",FALSE,"",4,4,2,3,5,5,4,4,4,5,2,2,4,4,2,2,5,2,4,5,4,4,4,2,2,3,5,2,4,4,4,3,2,3,2,4,4,2,4,5,2,5,5,2,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,4
"14C8","14_friday_11.30","MH",5.445,8.085,"10-09-2015",201,"mug",8,"MH",1997,"M","Caucasian","United States","English","College","Neurobiology",FALSE,"",4,4,4,3,4,3,4,3,3,5,4,2,4,3,3,4,4,3,4,5,2,4,4,4,4,3,4,3,4,5,4,4,2,3,2,4,3,4,4,4,1,4,5,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,18,4
"14C9","14_friday_11.30","ML",3.135,0,"10-09-2015",211,"mug",1,"ML",1995,"F","Asian","United States","English","College","Government; Middle Eastern Studies",FALSE,"",2,3,3,2,4,4,3,3,3,4,2,2,4,4,4,2,3,2,4,2,4,3,3,3,3,3,3,4,4,3,4,3,3,4,2,3,2,3,4,4,3,4,3,2,"000","000","0","0","0","0","0","000","000","000","000",1,0,20,4
"15B10","15_friday_1.00","ML",7.425,5.115,"10-09-2015",101,"mug",1,"ML",1989,"M","Caucasian","Slovakia","Slovak","Graduate School","Public Policy",FALSE,"",3,4,4,3,2,4,3,4,2,4,2,2,3,4,4,2,2,4,3,3,4,2,4,3,2,2,4,3,4,3,4,3,2,2,2,3,4,2,3,4,3,3,4,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,26,4
"15B12","15_friday_1.00","ML",7.095,8.085,"10-09-2015",121,"mug",1,"ML",1996,"M","Caucasian","United States","English","College","History and Literature",FALSE,"",4,4,5,4,4,5,4,4,2,5,4,2,4,5,2,4,2,2,5,4,4,4,2,1,4,2,4,4,5,5,5,4,4,2,2,2,4,4,5,5,1,4,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,0,19,4
"15B7","15_friday_1.00","ML",9.57,6.105,"10-09-2015",71,"mug",1,"ML",1987,"F","Caucasian","United States","English","Graduate School","International Relations",FALSE,"",5,4,2,4,4,2,5,5,2,5,3,2,2,4,4,5,2,2,4,4,2,2,4,2,5,4,4,3,4,3,2,3,5,2,1,4,4,2,4,5,2,4,2,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,28,4
"15B9","15_friday_1.00","ML",4.125,5.115,"10-09-2015",91,"mug",1,"ML",1995,"F","Caucasian","United States","English","College","government",FALSE,"",5,4,4,1,4,3,3,4,4,5,4,1,4,5,3,4,2,1,5,3,2,2,2,2,3,5,1,3,4,5,3,5,5,3,4,5,2,5,4,3,3,4,4,5,"000","000","0","0","0","0","0","000","000","000","000",1,0,20,4
"15C1","15_friday_1.00","MH",3.135,2.145,"10-09-2015",131,"mug",8,"MH",1994,"M","Asian","United States","English","College","Social Studies",FALSE,"",4,4,4,4,4,4,4,4,4,5,4,2,4,4,5,4,2,4,3,5,3,5,4,5,4,5,3,3,4,5,3,4,3,5,3,5,3,2,4,5,2,5,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,21,4
"15C11","15_friday_1.00","MH",1.815,0,"10-09-2015",231,"mug",8,"MH",1996,"M","Caucasian","United States","English","College","Biomedical Engineering",FALSE,"",3,3,4,1,4,2,4,2,5,4,3,1,5,2,4,3,4,2,1,3,2,4,2,4,3,3,2,5,2,3,2,4,4,5,4,4,2,3,2,5,3,3,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,4
"15C12","15_friday_1.00","ML",1.155,1.155,"10-09-2015",241,"mug",1,"ML",1995,"F","Caucasian","Singapore","English","College","Social Studies",FALSE,"",4,2,5,2,5,3,4,2,4,5,4,2,5,3,4,3,3,2,3,4,3,2,1,3,4,4,3,5,4,5,3,4,4,4,3,3,3,5,4,5,2,4,4,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,20,4
"15C2","15_friday_1.00","MH",2.145,4.125,"10-09-2015",141,"mug",8,"MH",1992,"F","Caucasian","Sweden","Swedish","College","Psychology",FALSE,"",3,1,4,1,4,2,5,1,4,5,4,1,5,2,3,4,5,2,3,4,3,5,3,4,4,1,1,2,1,5,3,5,4,4,3,4,1,4,2,4,2,4,2,2,"000","000","0","0","0","0","0","000","000","000","000",1,1,23,4
"15C3","15_friday_1.00","ML",8.415,9.57,"10-09-2015",151,"mug",1,"ML",1994,"F","Caucasian","United States","English","College","Sociology",FALSE,"",5,3,4,2,4,1,4,3,4,5,5,3,4,4,4,5,4,3,3,4,1,4,2,4,4,4,2,4,3,3,1,4,4,4,4,5,3,4,3,4,3,5,3,2,"000","000","0","0","0","0","0","000","000","000","000",1,0,21,4
"15C4","15_friday_1.00","ML",1.815,0.165,"10-09-2015",161,"mug",1,"ML",1985,"M","Caucasian","United States","English","Graduate School","Ph.D. Arabic Language and Literature",FALSE,"",5,4,5,4,4,1,5,4,1,5,5,2,5,5,4,5,3,3,5,4,1,4,1,1,4,4,1,5,4,4,1,5,2,1,2,5,2,3,3,4,2,4,4,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,30,4
"15C5","15_friday_1.00","MH",6.765,4.125,"10-09-2015",171,"mug",8,"MH",1996,"M","Caucasian","United States","English","College","History",FALSE,"",3,2,4,4,3,4,4,5,2,4,4,2,4,5,3,4,4,4,5,4,3,4,2,2,2,2,4,4,4,5,5,2,4,2,4,3,4,3,4,5,2,4,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,4
"15C6","15_friday_1.00","MH",9.57,3.135,"10-09-2015",181,"mug",8,"MH",1996,"M","Asian","United States","English","College","Economics",FALSE,"",3,2,4,2,4,4,4,3,3,4,3,2,4,3,4,4,4,2,3,4,4,3,2,3,4,3,2,4,2,5,4,4,4,3,3,3,2,4,3,4,2,4,3,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,4
"15C7","15_friday_1.00","MH",7.755,3.465,"10-09-2015",191,"mug",8,"MH",1995,"M","Caucasian","United States","English","College","Computer Science",FALSE,"",2,2,4,2,5,4,4,4,3,5,4,1,4,4,4,4,4,3,2,4,3,5,2,4,5,3,4,3,4,4,4,5,4,4,1,4,2,5,2,5,2,5,4,3,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,4
"15C8","15_friday_1.00","MH",6.765,5.775,"10-09-2015",201,"mug",8,"MH",1993,"F","Hispanic","United States","Spanish","College","Neurobiology",FALSE,"",5,2,4,2,4,2,4,1,2,4,4,2,5,4,4,4,2,2,4,4,2,5,2,4,4,4,1,4,3,2,2,4,5,2,2,5,2,4,2,4,2,4,4,1,"000","000","0","0","0","0","0","000","000","000","000",1,1,22,4
"15C9","15_friday_1.00","ML",1.485,1.815,"10-09-2015",211,"mug",1,"ML",1994,"F","Other","Japan","English","College","Sociology ",FALSE,"",5,3,5,3,4,3,4,2,2,4,4,2,4,4,4,4,4,2,4,4,2,4,2,3,4,4,2,4,4,4,2,4,4,3,4,4,2,4,4,4,4,4,2,2,"000","000","0","0","0","0","0","000","000","000","000",1,0,21,4
"16B10","16_friday_2.30","MH",9.405,5.115,"10-09-2015",101,"mug",8,"MH",1995,"F","Asian","Korea South","Korean","College","Classics",FALSE,"",4,4,4,2,3,4,1,4,3,5,3,2,5,3,3,3,1,1,3,5,3,4,4,4,3,3,4,3,4,4,3,3,4,4,5,4,3,4,3,4,4,3,4,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,4
"16B11","16_friday_2.30","MH",7.755,2.145,"10-09-2015",111,"mug",8,"MH",1995,"M","Other","United States","English","College","psychology",FALSE,"",4,4,5,2,3,2,4,1,3,4,2,1,5,3,2,4,3,1,2,4,4,4,2,4,2,4,1,3,1,4,3,4,5,5,5,5,2,3,3,4,1,4,2,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,4
"16B12","16_friday_2.30","MH",3.465,7.095,"10-09-2015",121,"mug",8,"MH",1995,"F","Asian","United States","English","College","Art History and Computer Science",FALSE,"",4,5,4,2,5,1,3,4,4,5,5,3,4,2,4,4,2,4,2,5,2,2,3,4,4,4,3,4,2,5,3,3,4,4,3,4,4,3,2,4,1,3,4,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,4
"16B2","16_friday_2.30","MH",5.115,9.57,"10-09-2015",21,"mug",8,"MH",1996,"F","Caucasian","United States","English","College","History",FALSE,"",4,2,5,1,2,4,4,1,5,5,4,1,5,4,5,5,4,1,4,4,4,4,1,4,4,2,3,5,4,5,4,5,4,4,3,4,3,5,4,5,1,4,3,5,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,4
"16B3","16_friday_2.30","MH",4.125,4.125,"10-09-2015",31,"mug",8,"MH",1993,"F","Asian","United States","English","College","Economics",FALSE,"",4,4,2,1,4,4,3,2,3,5,4,2,5,4,4,4,2,2,4,4,2,4,2,4,4,4,4,5,2,5,4,2,5,3,4,4,4,5,4,2,1,4,2,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,22,4
"16B4","16_friday_2.30","ML",0.825,0.165,"10-09-2015",41,"mug",1,"ML",1996,"F","Asian","United States","English","College","Econ",FALSE,"",4,4,4,2,4,3,3,3,2,4,4,2,4,5,4,3,4,2,4,4,2,4,2,2,4,4,4,3,5,5,4,4,4,4,2,4,4,4,4,4,2,4,3,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,4
"16B5","16_friday_2.30","MH",7.425,7.755,"10-09-2015",51,"mug",8,"MH",1997,"M","Caucasian","United States","English","College","Social Studies",FALSE,"",3,4,5,2,3,4,4,2,5,5,4,1,4,3,3,3,4,3,2,2,4,2,1,4,4,3,3,4,4,4,4,4,5,4,3,4,2,3,4,4,2,5,2,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,18,4
"16B6","16_friday_2.30","ML",1.155,1.815,"10-09-2015",61,"mug",1,"ML",1993,"F","Caucasian","United States","English","College","Psychology",FALSE,"",5,2,5,1,5,1,4,1,4,5,5,1,5,2,5,5,5,1,3,4,2,5,2,5,4,5,1,5,2,5,3,5,3,4,3,5,1,4,4,5,1,5,3,5,"000","000","0","0","0","0","0","000","000","000","000",1,0,22,4
"16B8","16_friday_2.30","ML",4.125,4.125,"10-09-2015",81,"mug",1,"ML",1996,"M","Asian","United States","Telugu","College","Chemistry",FALSE,"",4,4,4,3,5,3,4,5,2,5,5,4,4,4,5,4,3,5,4,5,2,4,4,3,5,4,4,2,4,3,4,3,3,4,2,4,4,3,4,4,3,4,5,2,"000","000","0","0","0","0","0","000","000","000","000",0,0,19,4
"16B9","16_friday_2.30","ML",5.115,4.455,"10-09-2015",91,"mug",1,"ML",1993,"F","Asian","China","English","College","Neurobiology",FALSE,"",4,5,4,3,3,3,2,3,3,4,4,2,4,4,5,4,4,2,5,3,2,3,2,4,3,4,3,4,2,3,4,3,4,4,2,4,4,2,3,5,4,2,3,1,"000","000","0","0","0","0","0","000","000","000","000",1,0,22,4
"16C1","16_friday_2.30","MH",3.135,3.795,"10-09-2015",131,"mug",8,"MH",1995,"M","African/African American","United States","English","College","Astrophysics",FALSE,"",2,3,5,2,3,1,4,2,4,3,2,1,4,3,3,2,4,3,4,3,2,3,3,4,2,2,4,4,2,3,1,4,3,4,3,2,2,4,4,3,2,3,3,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,4
"16C10","16_friday_2.30","MH",0.825,9.57,"10-09-2015",221,"mug",8,"MH",1993,"F","Caucasian","United States","English","College","Psychology",FALSE,"",4,3,4,2,4,3,2,3,3,4,4,3,4,4,4,5,4,3,3,4,2,4,3,3,4,4,1,4,3,4,2,5,4,3,2,4,2,3,4,4,1,4,4,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,22,4
"16C11","16_friday_2.30","MH",4.785,2.145,"10-09-2015",231,"mug",8,"MH",1989,"F","Caucasian","United States","English","Graduate School","History of Art and Architecture",FALSE,"",5,4,5,4,5,3,3,3,2,5,5,4,4,4,4,2,4,3,4,5,1,2,2,3,4,5,1,3,4,5,2,4,2,3,1,5,3,4,2,4,1,2,2,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,26,4
"16C12","16_friday_2.30","ML",0.165,0.165,"10-09-2015",241,"mug",1,"ML",1987,"F","Caucasian","United States","English","Graduate School","Law School",FALSE,"",5,2,4,2,4,1,4,4,2,4,5,2,4,4,4,3,3,4,4,5,1,3,2,3,4,2,1,3,1,4,2,4,3,2,4,5,2,4,4,5,3,4,2,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,28,4
"16C2","16_friday_2.30","MH",3.135,5.445,"10-09-2015",141,"mug",8,"MH",1995,"F","Asian","Malaysia","Malay","College","ognitive Neuroscience and Evolutionary Psychology",FALSE,"",3,2,3,2,2,4,4,3,3,3,3,1,5,4,4,3,3,1,4,3,3,4,3,3,2,3,2,5,3,3,4,4,4,4,5,4,2,5,4,3,3,3,3,2,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,4
"16C3","16_friday_2.30","MH",3.135,6.435,"10-09-2015",151,"mug",8,"MH",1995,"M","Asian","United States","English","College","Electrical Engineering",FALSE,"",3,4,5,2,4,4,4,1,3,5,4,2,5,3,4,3,4,1,4,4,4,4,3,4,4,2,3,5,1,4,4,4,4,4,3,3,3,4,4,4,2,4,2,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,4
"16C5","16_friday_2.30","ML",8.085,5.115,"10-09-2015",171,"mug",1,"ML",1994,"M","Caucasian","United States","English","College","Philosophy",FALSE,"",4,2,2,2,4,2,4,5,4,5,3,1,2,4,4,4,4,5,3,3,2,4,4,3,2,2,2,2,4,5,4,4,2,4,4,5,2,4,2,4,4,3,5,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,21,4
"16C6","16_friday_2.30","MH",1.815,2.145,"10-09-2015",181,"mug",8,"MH",1995,"F","Asian","Canada","English","College","Biomedical Engineering",FALSE,"",3,5,4,2,3,2,4,4,5,4,4,1,4,2,4,4,3,2,2,4,3,4,3,5,3,2,3,4,2,5,4,4,4,4,2,4,2,3,2,4,4,4,4,2,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,4
"16C7","16_friday_2.30","ML",0.165,0.165,"10-09-2015",191,"mug",1,"ML",1995,"F","Asian","United States","English","College","Applied Math",FALSE,"",2,4,4,5,4,4,4,2,3,4,4,1,5,4,4,3,3,2,3,3,4,3,1,2,4,5,4,3,3,5,4,3,3,3,3,3,2,4,2,3,2,3,2,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,20,4
"16C8","16_friday_2.30","ML",4.125,9.57,"10-09-2015",201,"mug",1,"ML",1989,"F","Asian","Japan","Japanese","Graduate School","MPP",FALSE,"",4,2,5,1,3,2,2,4,5,5,1,5,4,2,4,4,3,4,3,3,2,5,4,5,3,5,2,3,2,2,4,4,5,5,3,5,1,4,3,2,3,4,5,1,"000","000","0","0","0","0","0","000","000","000","000",1,0,26,4
"16C9","16_friday_2.30","ML",4.125,9.405,"10-09-2015",211,"mug",1,"ML",1993,"M","Other","Brazil","Portuguese","College","Economics",FALSE,"",5,2,3,2,5,2,4,3,2,5,4,1,4,3,5,5,5,1,3,5,1,5,2,3,5,4,2,4,2,4,2,5,4,4,4,5,2,4,3,5,3,5,2,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,22,4
"17B10","17_friday_4.00","ML",5.775,5.115,"10-09-2015",101,"mug",1,"ML",1993,"F","Caucasian","United States","English","College","Engineering",FALSE,"",4,5,4,3,3,2,4,4,3,4,5,1,3,4,4,4,5,5,2,4,1,3,2,4,4,5,5,4,4,5,3,3,2,3,2,4,4,4,4,3,2,5,5,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,22,4
"17B11","17_friday_4.00","ML",3.135,3.135,"10-09-2015",111,"mug",1,"ML",1992,"F","Caucasian","United States","English","Graduate School","English & Philosophy",FALSE,"",2,3,5,4,5,5,3,4,2,4,2,1,4,4,4,2,4,4,5,5,5,2,2,2,4,2,4,4,4,4,4,4,4,4,2,2,2,4,4,4,2,2,1,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,23,4
"17B12","17_friday_4.00","MH",1.155,1.155,"10-09-2015",121,"mug",8,"MH",1995,"M","Middle Eastern","Morocco","Arabic","College","Statistics",FALSE,"",5,4,5,1,4,2,4,2,3,4,5,2,5,3,3,5,3,1,3,4,2,5,1,3,3,4,3,5,3,3,2,4,5,3,4,5,3,5,1,3,2,4,2,2,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,4
"17B7","17_friday_4.00","ML",5.115,5.115,"10-09-2015",71,"mug",1,"ML",1996,"F","African/African American","United States","English","College","Biology",FALSE,"",3,4,4,3,3,4,3,2,3,4,3,2,4,4,3,3,4,2,5,4,3,3,2,3,3,3,4,4,2,3,3,3,4,3,4,3,2,4,4,3,3,4,2,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,4
"17B9","17_friday_4.00","ML",0,0.165,"10-09-2015",91,"mug",1,"ML",1993,"F","Caucasian","United States","English","College","Psychology",FALSE,"",5,3,4,2,3,4,5,2,3,5,5,1,5,5,5,4,5,2,2,4,3,5,4,2,3,2,1,4,4,4,3,5,3,5,4,5,1,4,3,5,5,5,3,1,"000","000","0","0","0","0","0","000","000","000","000",1,0,22,4
"17C1","17_friday_4.00","MH",4.455,4.455,"10-09-2015",131,"mug",8,"MH",1996,"F","Asian","United States","English","College","Mathematics",FALSE,"",4,4,4,2,3,3,3,2,1,3,3,1,4,4,2,3,5,1,5,4,2,4,2,2,3,3,2,4,4,4,3,5,4,3,3,4,2,3,5,3,2,4,4,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,4
"17C10","17_friday_4.00","MH",9.57,9.57,"10-09-2015",221,"mug",8,"MH",1982,"F","Asian","Korea South","Korean","Graduate School","Public Administration",FALSE,"",2,4,5,3,4,3,2,4,2,5,4,3,5,5,4,4,3,3,3,4,4,5,2,3,4,5,4,4,4,4,4,3,4,4,2,3,4,4,2,4,4,4,2,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,33,4
"17C11","17_friday_4.00","MH",7.425,4.455,"10-09-2015",231,"mug",8,"MH",1996,"F","Asian","Korea South","Korean","College","Environmental Science and Public Policy",FALSE,"",3,4,4,2,3,4,4,3,4,5,3,1,5,4,4,3,4,3,3,5,4,5,3,4,4,3,3,5,4,5,4,5,3,4,3,3,2,4,4,5,5,3,4,5,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,4
"17C12","17_friday_4.00","MH",0.825,0.825,"10-09-2015",241,"mug",8,"MH",1990,"F","Caucasian","United States","English","Graduate School","Education",FALSE,"",1,5,5,4,2,5,4,3,1,4,3,4,4,5,2,3,1,2,5,2,5,3,2,2,2,2,4,5,5,3,5,4,5,2,5,2,4,4,5,3,4,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,25,4
"17C2","17_friday_4.00","ML",2.145,7.095,"10-09-2015",141,"mug",1,"ML",1993,"F","Caucasian","United States","English","College","Organismic and Evolutionary Biology",FALSE,"",4,3,3,4,5,2,4,4,2,4,4,2,3,2,3,4,4,4,3,5,3,4,4,2,4,4,4,2,4,5,4,4,2,4,2,4,4,2,4,3,1,4,5,5,"000","000","0","0","0","0","0","000","000","000","000",1,0,22,4
"17C3","17_friday_4.00","ML",0.825,0,"10-09-2015",151,"mug",1,"ML",1996,"F","Caucasian","United States","English","College","Human Developmental & Regenerative Biology",FALSE,"",3,2,4,2,3,4,4,2,4,4,4,1,5,2,2,3,4,2,2,4,4,4,2,5,3,2,2,4,4,4,4,5,4,5,4,4,1,5,3,3,3,4,4,2,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,4
"17C4","17_friday_4.00","MH",7.755,6.765,"10-09-2015",161,"mug",8,"MH",1995,"F","Asian","United States","Mandarin","College","Social Studies",FALSE,"",4,4,5,2,4,4,4,1,3,5,3,2,5,4,4,3,4,3,4,3,4,5,4,4,3,3,3,4,3,5,4,5,3,4,3,4,3,5,4,4,2,4,4,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,4
"17C5","17_friday_4.00","ML",5.115,6.105,"10-09-2015",171,"mug",1,"ML",1994,"F","Asian","United States","English","College","Neurobiology",FALSE,"",3,4,4,3,4,5,4,4,3,5,4,1,4,4,4,3,5,5,5,4,4,5,3,2,3,4,2,3,4,5,4,5,4,4,3,4,2,3,2,5,4,5,3,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,21,4
"17C6","17_friday_4.00","MH",2.145,7.095,"10-09-2015",181,"mug",8,"MH",1990,"F","Caucasian","United States","English","Graduate School","Public Health",FALSE,"",2,2,4,2,4,4,4,3,4,4,4,2,4,4,4,2,4,2,4,3,4,4,2,4,4,2,2,4,4,4,4,4,5,4,3,2,2,4,4,4,2,4,2,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,25,4
"17C7","17_friday_4.00","MH",0.165,0.825,"10-09-2015",191,"mug",8,"MH",1991,"M","Asian","Canada","English","Graduate School","Law",FALSE,"",4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,3,4,2,4,3,3,4,4,4,2,4,4,2,4,2,2,4,4,4,3,3,4,4,3,4,5,4,4,1,"000","000","0","0","0","0","0","000","000","000","000",0,1,24,4
"17C8","17_friday_4.00","MH",6.435,6.435,"10-09-2015",201,"mug",8,"MH",1996,"F","Asian","United States","Korean","College","Biology",FALSE,"",2,3,4,4,3,4,4,3,2,4,2,2,4,4,4,3,4,4,5,4,4,4,4,4,3,3,3,4,4,4,4,4,2,4,3,3,2,4,4,4,3,4,4,3,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,4
"17C9","17_friday_4.00","ML",7.425,7.095,"10-09-2015",211,"mug",1,"ML",1996,"F","African/African American","Tanzania","Swahili","College","CS",FALSE,"",3,3,4,1,5,3,4,3,3,4,4,2,4,3,4,4,5,1,3,4,3,3,2,4,3,4,2,4,4,4,3,5,4,3,1,4,1,4,2,4,4,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,4
"18A10","18_friday_10","ML",5.115,8.085,"10-16-2015",11,"mug",1,"ML",1996,"F","Caucasian","United States","English","College","Neuroscience",FALSE,"",4,2,5,5,5,2,5,3,1,5,3,2,4,4,3,3,2,4,4,5,2,2,1,2,4,4,3,5,4,5,2,5,4,2,2,3,3,4,4,5,2,4,1,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,5
"18A11","18_friday_10","ML",1.155,1.155,"10-16-2015",11,"mug",1,"ML",1996,"F","Caucasian","United States","English","College","neurobiology",FALSE,"",4,2,4,2,3,4,3,4,3,4,3,2,4,4,3,3,2,2,3,3,2,4,2,3,3,4,4,4,2,4,4,3,4,4,4,4,3,4,4,4,2,3,2,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,5
"18A12","18_friday_10","ML",0.165,0.165,"10-16-2015",11,"mug",1,"ML",1996,"F","African/African American","United States","English","College","undecided",FALSE,"",5,2,5,1,5,3,4,4,3,5,5,1,5,4,5,5,5,3,3,5,2,4,2,3,4,5,3,5,4,4,3,5,4,3,3,5,1,3,1,3,1,3,4,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,5
"18A7","18_friday_10","MH",2.145,4.125,"10-16-2015",11,"mug",8,"MH",1995,"M","Caucasian","United States","English","College","Statistics",FALSE,"",5,2,5,1,3,2,4,2,3,5,5,2,5,4,3,5,5,1,4,4,1,4,2,4,3,4,2,5,3,4,2,4,3,2,3,5,3,4,3,4,2,4,4,2,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,5
"18A8","18_friday_10","MH",5.115,9.075,"10-16-2015",11,"mug",8,"MH",1994,"F","Caucasian","United States","English","College","Sociology",FALSE,"",4,4,4,2,4,2,4,4,4,4,4,2,4,2,4,4,2,1,2,4,2,1,2,4,4,4,4,4,4,4,2,4,4,4,1,4,2,4,2,2,4,4,2,2,"000","000","0","0","0","0","0","000","000","000","000",1,1,21,5
"18A9","18_friday_10","MH",3.135,5.115,"10-16-2015",11,"mug",8,"MH",1996,"M","Caucasian","United States","English","College","Anthropology",FALSE,"",3,3,4,1,4,2,5,3,4,5,4,2,4,3,4,5,5,2,2,5,3,4,1,4,4,2,3,5,2,2,3,5,4,4,3,3,2,4,2,4,2,5,3,2,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,5
"18B1","18_friday_10","MH",3.795,0.825,"10-16-2015",1011,"mug",8,"MH",1995,"F","Other","Afghanistan","Dari","College","Government",FALSE,"",2,2,4,5,5,5,5,4,2,4,1,1,4,4,4,2,5,4,5,5,5,2,5,2,4,2,4,2,4,5,4,5,2,5,4,2,1,5,3,5,5,5,5,5,"000","000","0","0","0","0","0","000","000","000","000",1,1,20,5
"18B10","18_friday_10","ML",1.155,3.465,"10-16-2015",11,"mug",1,"ML",1996,"F","Caucasian","United States","English","College","Government",FALSE,"",3,2,5,3,3,4,4,2,3,5,4,2,5,4,4,4,4,1,3,4,3,4,1,2,3,3,3,4,3,4,3,5,4,3,3,3,1,4,4,4,2,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,19,5
