V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,,,,
R_1kFF6L1WCB5G4qQ,Default Response Set,,,,134.76.136.184,,14.09.2015 12:56,14.09.2015 14:25,1,1,1,0,0,170.417,0,1,161,1,13.683,13.683,14.055,1,,,,,,,1,9,1,"Ich war unsicher, wie die anderen TeilnehmerInnen entscheiden. Unter Anbetracht der Umstí_nde, dass ich nicht weiíô wie die anderen sich entscheiden und es fí_r mich Vorteilhaft kein Geld zu spenden habe ich mich fí_r einen geringen Betrag entschieden, um wenigstens ein bisschen zu geben. Zudem hat die Zeit mich unter Druck gesetzt.",1,7,6,9,5,9,5,8,4,8,9,5,3,2,7,4,3,8,3,6,8,5,9,6,8,3,6,6,6,9,3,6,5,4,0,8,0,1,4,7,2,1,2,1,2,"Die Anreizsituation in der Studie ist gegensetzlich. Hinsichtlich der eigenen Interessen sollte man das Geld behalten, wohingegen man im Interesse der Gruppe das Geld teilen sollte. Entsprechend der Auswahl des Geldbetrags und der anschlieíôenden Befragung hinsichtlich eigenen Werten und das Wahrnehmen von anderen, wird versucht ein Zusammenhang zwischen der Bereitschaft Geld der Gruppe zur Verfí_gung zu stellen und der Hilfsbereitschaft herzustellen.",Nein,5,6,5,6,72,1,"Minden, Deutschland",0,51.53640747,9.938995361,-1,,24,1,1,1
R_1kMiE2qh3s3cATf,Default Response Set,,,,134.76.136.48,,15.09.2015 10:59,15.09.2015 11:49,1,1,1,0,0,78.78,0,1,400,1,0,0,8.936,0,,,,,,,1,9,1,"Ich habe mich fí_r die kompletten 4 Euro entschieden, da so alle Mitglieder den hí_chsten Betrag erhalten kí_nnen und nicht nur ein einziger 10 Euro. Zudem ist es mir lieber, dass alle 8 Euro bekommen als ein alleiniger die 10 Euro.",1,4,8,5,9,8,4,7,7,4,6,4,5,1,5,3,5,8,8,9,8,9,9,6,9,4,6,4,5,2,3,6,7,1,0,0,0,0,7,9,3,3,1,2,2,"Ich denke, dass hiermit gezeigt werden sollte, wie Menschen mit unterschiedlichsten Eigenschaften auf ihre Umwelt reagieren nd inwiefern sie bereit sind anderen zu helfen und sie zu unterstí_tzen und dabei ihr eigenes Wohl zurí_ckzustellen.",nein,9,3,9,4,73,2,"Gí_ttingen,Deutschland",1,51.53640747,9.938995361,-1,,23,1,1,1
R_1kYLz432sYSC9Ed,Default Response Set,,,,134.76.136.83,,10.09.2015 10:07,10.09.2015 10:52,1,1,1,0,0,42.067,0,1,400,1,0,0,23.598,0,,,,,,,1,9,1,"Da alle am meisten davon haben, wenn man die gesamten 4ä‰å in die Gruppe einbringt.",1,6,7,9,8,7,8,8,4,1,9,2,6,1,5,5,7,9,8,9,9,9,8,5,4,2,4,2,6,2,3,6,3,3,5,6,0,2,3,8,3,2,1,1,2,"Ich kí_nnte mir denken, dass es darum ging, wie sehr man bereit ist mit Unbekannten zu agieren, wenn es um Geld geht. Vielleicht auch um den zusammenhang mit Vertrauen im Allgemeinen.",Nein,9,5,3,4,71,2,Hannover,0,51.53640747,9.938995361,-1,,25,1,1,1
R_1l6UbQjkURIz28l,Default Response Set,,,,134.76.136.83,,10.09.2015 14:45,10.09.2015 14:53,1,1,1,0,0,1.952,0,1,326,1,0,0,2.602,0,,,,,,,1,9,9,weil sich dann mehr verdoppelt und ich glaube dass die anderen auch mehr zum gruppenprojekt beitragen,1,8,8,9,8,4,3,5,7,3,6,3,4,3,4,3,4,5,2,6,6,8,5,2,6,1,1,4,3,3,7,6,2,1,0,4,0,1,4,8,3,2,2,1,2,"Wie sehr man darauf vertraut dass andere, unbekannte personen bereit sind was mit einer ebenfalls unbekannten person zu teilen um dann ggf zusammen mehr zu erwirtschaften, oder ob jeder fí_r sich behí_lt was er bekommen kann und nicht auf andere vertraut",nein,2,3,2,4,76,2,Moringen,0,51.53640747,9.938995361,-1,,20,1,1,1
R_1la6dMCfbC97iQb,Default Response Set,,,,134.76.136.83,,08.09.2015 15:06,08.09.2015 15:47,1,1,1,0,0,54.942,0,1,,,,,,,40,1,0,0,21.615,0,1,9,1,Aus Erfahrung werden nicht alle Menschen sich vollstí_ndig mit 100% finanziell einbringen sondern lediglich einen Teil. Um somit meinen Gewinn zu maximieren reduziere ich meine Ausgaben auf einen kleinen Teil.,1,7,9,9,9,9,3,8,5,8,7,6,7,3,7,7,3,7,6,9,6,9,7,1,2,2,5,6,2,1,2,2,1,4,0,11,0,2,2,7,3,1,3,1,2,"Das Entscheidungsverhalten von Menschen in Anbetracht der Tatsache,dass ihre Entscheidung anonym ist.",nein,5,5,6,2,70,1,Stuhr Deutschland,0,51.53640747,9.938995361,-1,,26,1,1,1
R_1lbOU4ywu4U09k5,Default Response Set,,,,134.76.136.167,,11.09.2015 11:28,11.09.2015 11:36,1,1,1,0,0,1.93,0,1,400,1,1.059,4.488,11.413,2,,,,,,,1,9,1,"Ich hoffe, dass alle fair sind und gerne mí_chten, dass die Gruppe als ganzes den selben Betrag ausgezahlt bekommt!",1,3,6,7,5,3,8,7,3,3,5,2,2,1,2,2,8,8,8,9,8,9,8,7,9,8,8,9,8,8,7,8,9,1,4,4,0,1,7,8,1,2,3,2,2,"Ich denke es sollte getestet werden, wie sich Leute in der Gruppe verhalten. Ob sie den Erfolg der Gruppe fí_r wichtiger sehen als ihren eigenen?!",nein,9,7,9,7,71,2,"Gí_ttingen, Deutschland",2,51.53640747,9.938995361,-1,,25,1,1,1
R_1llAvLcx6mAmS8H,Default Response Set,,,,134.76.136.171,,08.09.2015 13:43,08.09.2015 14:27,1,1,1,0,0,71.715,0,1,,,,,,,,1,0,0,15.017,0,1,9,1,"Verlust und Gewinn halten sich die gefí_hlt die Waage. Ein Verlust wí_re schlimmer als ein Gewinn des gleichen Betrages, daher eine OPtion, wo der Verlust geringer ist als der Gewinn, wenn alle so handeln wie ich.",1,3,5,6,4,3,6,6,4,4,6,4,6,4,6,4,3,5,4,3,6,6,5,5,5,3,4,4,5,6,4,3,4,2,0,3,0,1,5,8,3,2,3,2,2,"Ich schí_tze, dass es um Vertrauen und Interaktion mit fremden Personen ging unter Einschluss von Persí_nlichkeitsmerkmalen hinsichtlich z.B. Konkurrenz, Egoismus/Gruppendenken. Der monetí_re Anreiz sollte dies realistisch abbilden, da damit ein Involvement der Versuchspersonen entsteht.","Vermutung: Zusammenhang persí_nliche Eigenschaften und Teamwork\Vermutung: Vertrauen in fremde Personen\Vermutung: Schafft eine Gruppe von Individuen es, gruppenoptiomal zu arbeiten?\Zweifel: Zweifel, dass ein Optimum erreicht wurde.",5,3,5,3,68,1,"Braunschweig, Deutschland",0,51.53640747,9.938995361,-1,,28,1,0,0
R_1lrwaAmm8uXr4PE,Default Response Set,,,,134.76.136.83,,11.09.2015 10:18,11.09.2015 11:29,1,1,1,0,0,90.053,0,1,400,1,0,0,12.25,0,,,,,,,1,9,9,"Die Wahrscheinlichkeit, dass ich als einzige Person meine 4 Euro behalte, ist ziemlich gering",1,7,6,6,6,7,8,5,7,2,5,2,3,1,5,6,8,9,8,8,7,9,9,7,9,2,6,6,7,5,4,7,7,1,0,1,0,4,7,10,1,3,1,2,2,"Es kí_nnte untersucht worden sein, inwiefern Altruismus mit monetí_ren Entscheidungen innerhalb einer Gruppe korreliert",nein,4,5,2,6,74,2,Mannheim,0,51.53640747,9.938995361,-1,,22,1,1,1
R_1mRhR0AaOLLH8lY,Default Response Set,,,,134.76.136.62,,10.09.2015 13:58,10.09.2015 14:53,1,1,1,0,0,75.787,0,1,,1,9.259,9.259,18.405,1,,,,,,,1,9,1,"Der Timer lief bereits, als ich die Anweisungen í_ber dem Schieberegler noch gelesen habe. Als ich versuchen wollte den Schieberegler zu bewegen, habe ich mich ausserdem verklickt. Deswegen habe ich den Regler gar nicht bewegt.",1,7,7,8,9,9,4,5,6,3,6,3,5,2,3,2,5,8,9,7,6,8,6,7,7,1,3,7,7,5,8,5,5,4,0,10,0,1,4,7,3,3,1,2,2,"Wie weit ist man bereit ein persí_nliches Risiko einzugehen, um einen Gewinn zu erhalten, wo bei das Verhalten anderer unberechenbar und ausschlaggebend fí_r den eigenen Gewinn ist.",nein,9,5,9,5,65,2,"Breklum, Deutschland",0,51.53640747,9.938995361,-1,,31,1,0,0
R_1mUGPf0QHHjovAW,Default Response Set,,,,134.76.136.120,,14.09.2015 10:57,14.09.2015 11:55,1,1,1,0,0,88.359,0,1,,,,,,,400,1,0,0,13.127,0,1,9,1,"Ich wollte nicht egoistisch handeln. Wenn, dann soll jeder gleich viel verdienen.",1,4,7,8,6,2,6,6,4,2,1,1,2,4,6,2,5,9,9,9,9,6,8,3,7,8,8,6,7,7,8,9,6,1,0,5,0,0,6,9,1,3,1,2,2,"In dieser Studie wird gezeigt wie Menschen handeln, wenn Sei eine Entscheidungswahl haben.\Dementsprechend kann man sehen, ob Menschen bei Entscheidungen nur sich selbst oder auch andere berí_cksichtigen.\Anhand der Entscheidung fí_rs ""Gruppenprojekt"" und den jeweiligen Antworten kann man evtl. nachvollziehen wieso Menschen so handeln.",nein,6,9,5,4,65,1,Ahlen,0,51.53640747,9.938995361,-1,,31,1,1,1
R_1MZmi8DgGj3SGVE,Default Response Set,,,,134.76.136.60,,09.09.2015 15:36,09.09.2015 16:19,1,1,1,0,0,84.698,0,1,,,,,,,400,1,0,0,30.432,0,1,9,1,"In der Annahme, dass alle Mitglieder der Gruppe die gleiche Summe verdienen wollen und diese immer noch fair verteilt ist, habe ich mich fí_r den Hí_chstbetrag entschieden.",1,8,8,8,2,8,4,6,7,7,9,7,8,6,8,6,2,8,3,9,2,9,6,2,8,3,4,6,7,5,2,3,2,1,2,2,0,0,6,8,3,3,3,2,2,Gruppendynamiken aufzeigen in dem das Indivuduum mit seinem Persí_nlichkeitsprofil vor die vorliegende Entscheidung gestellt wird.,nein,4,6,2,4,69,1,"Deutschland, Walsrode",1,51.53640747,9.938995361,-1,,27,1,1,1
R_1NgEzkXnphYZ0NH,Default Response Set,,,,134.76.136.66,,10.09.2015 13:59,10.09.2015 14:48,1,1,1,52.129,52.129,52.589,1,1,,,,,,,400,1,0,0,14.55,0,1,9,9,"Wenn alle, alles investieren, gibt es den hí_chsten Gewinn fí_r alle",1,6,8,8,9,4,7,8,4,2,7,3,7,7,7,8,2,7,8,8,9,8,8,7,6,3,2,8,5,5,3,5,8,4,0,4,0,2,7,8,3,2,1,2,2,"Vertrauensbasis bei Fremden, wenn Vertrauen sich positiv auf sich selbst auswirkt",nein,2,6,2,6,73,1,Thalheim/Erzgeb (Deutschland),0,51.53640747,9.938995361,-1,,23,1,1,1
R_1NmlIIGUccqV4GL,Default Response Set,,,,134.76.136.120,,14.09.2015 15:15,14.09.2015 15:57,1,1,1,0,0,75.823,0,1,160,1,0,0,11.159,0,,,,,,,1,9,1,"Weil ich mir erhoffe, dass die anderen ebenfalls in das Projekt investieren und wir somit insgesamt einen hí_heren Gewinn erzielen, jedoch weniger als die Hí_lfte, da ich nicht weiíô wie die anderen handeln werden.",1,7,4,9,8,8,6,8,7,6,6,7,5,3,5,8,2,6,4,7,5,7,5,3,6,2,3,7,4,6,3,3,4,3,4,4,0,1,3,8,3,2,1,1,2,"Es sollte vermutlich gezeigt werde, wie viel man bereit ist in Projekte mit Unbekannten zu investieren und wie selbstlos man dabei agiert.","Dass die anderen versuchen, den maximalen Gewinn fí_r sich herauszuschlagen.",9,9,9,7,71,2,"Gí_ttingen, Deutschland",0,51.53640747,9.938995361,-1,,25,1,1,1
R_1NtqDvMsNZd4atj,Default Response Set,,,,134.76.136.167,,08.09.2015 14:55,08.09.2015 15:51,1,1,1,0,0,108.287,0,1,,,,,,,0,1,0,0,4.763,0,1,8,1,"Ich habe die Erfahrung gemacht, dass bei solch einem Experiment der Groíôteil nicht in ein Gruppenprojekt investiert.",1,3,8,8,7,9,5,6,7,3,5,2,5,2,4,4,5,8,8,3,8,8,8,7,9,2,2,4,5,3,4,2,5,3,7,7,0,0,2,8,3,2,1,2,2,"Es sollte gezeigt werden, wie sehr man Fremden sein ""eigenes Geld"" anvertraut und wie sehr man mit Fremden teilen wí_rden.",Nein,3,3,5,3,68,2,"Hildesheim, Deutschland",0,51.53640747,9.938995361,-1,,28,1,1,1
R_1okmhwhBxaw5aXG,Default Response Set,,,,134.76.136.60,,14.09.2015 08:59,14.09.2015 10:22,1,1,1,0,0,47.535,0,1,,,,,,,200,1,0,0,13.11,0,1,9,9,"So kann ich, falls nicht alle Geld investieren, auch etwas behalten.",1,5,5,7,7,5,4,8,6,8,3,7,6,4,7,6,5,7,4,8,9,6,9,7,8,5,8,9,4,3,4,6,6,2,5,5,0,1,3,6,2,3,3,1,2,"In dieser Studie geht es darum zu erforschen, inwiefern sich die Probanden auf fremde verlassen und ob sie den Instruktionen glauben, die ihnen vorgesetzt werden, da oftmals wiederholt wurde, dass hier nichts konstruiert ist.","ja, ich bezweifle ein wenig, dass die Probanden in vierergruppen eingeteilt werden.",9,3,2,9,70,2,"Hameln, Deutschland",0,51.53640747,9.938995361,-1,,26,1,1,1
R_1OZByBM3D8Yzp9n,Default Response Set,,,,134.76.136.66,,15.09.2015 11:02,15.09.2015 11:49,1,1,1,0,0,51.635,0,1,400,1,0,0,8.997,0,,,,,,,1,9,1,"Der Unterschied zwischen 8 und 10 ä‰å sind nicht so groíô, sodass ich vermute dass alle lieber auf Nummer Sicher gehen und ihren vollen Anteil beitragen. Darauf hoffe ich und setze deshalb auch meinen vollen Beitrag.",1,7,8,9,7,9,5,7,6,8,7,7,7,5,8,4,4,6,3,8,7,9,6,3,7,7,6,8,8,6,9,5,8,4,0,3,0,1,9,9,1,2,1,2,2,"Es soll gezeigt werden, wann und ob Personen lieber weniger verdienen um des Teams willen oder egoistisch sind un die anderen ausnutzen um am meisten zu verdienen.","Ich hatte Zweifel ob alle so denken wie ich und gerne die 8 ä‰å nehmen, weil 10ä‰å nicht so viel mehr sind.",4,2,4,3,72,1,"Kamperfehn, Niedersachsen, Deutschland",0,51.53640747,9.938995361,-1,,24,1,1,1
R_1P0f4sadOoG9XGx,Default Response Set,,,,134.76.136.48,,14.09.2015 11:05,14.09.2015 11:49,1,1,1,0,0,81.508,0,1,300,1,0,0,12.696,0,,,,,,,1,9,9,"Hohe Gewinnchance durch den Betrag von 3ä‰å, jedoch Sicherheit von mindestens 1ä‰å Gewinn ohne Zutun der anderen Mitspieler.",1,7,5,8,8,5,8,7,4,3,2,2,6,3,7,3,6,8,5,7,8,8,7,2,5,2,6,9,8,3,2,2,1,2,0,8,0,2,4,7,3,3,3,2,2,Entscheidungsverhalten anhand von Persí_nlichkeitsmerkmalen entziffern - Inkonsequenzen im Selbstbild im Vergleich zum tatsí_chlichen Verhalten auszeigen.,nein,3,2,2,6,70,1,"Lengede, Deutschland",0,51.53640747,9.938995361,-1,,26,1,1,1
R_1Pd9GI7PKpLB5ty,Default Response Set,,,,134.76.136.184,,09.09.2015 15:34,09.09.2015 16:23,1,1,1,0,0,120.443,0,1,241,1,0,0,16.589,0,,,,,,,1,6,6,"Ich habe so beliebig entschieden, weil ich unter Zeitdruck gestanden bin.",1,8,7,9,1,9,6,5,8,7,6,5,5,1,8,3,3,9,7,8,9,9,8,8,9,8,8,8,6,7,8,4,6,4,7,7,0,0,3,8,1,2,1,1,2,Ob man ein Vertrauensgefí_hl gegení_ber Fremden bauen kann oder nicht. Vor allem wenn es um seinen eigenen Gewinn geht.,"Wí_hrend der Fragebogen habe ich hin und her meine Meinung gewechselt, ob ich den anderen Fremden vertrauen kann oder nicht. Aber am Ende habe ich beschlossen, ich bin eher in der Meinung, dass die anderen Leute zuverlí_ssig sind. Und es ist auch wichtig, ein Vertrauensgefí_hl gegení_ber den anderen zu bauen, um in einer Gesellschaft zusammen zu leben.",5,2,6,3,70,2,"Seoul, Sí_dkorea",0,51.53640747,9.938995361,-1,,26,1,1,1
R_1PXK7ODDPwE0YD4,Default Response Set,,,,134.76.136.60,,09.09.2015 11:39,09.09.2015 13:19,1,1,1,0,0,38.481,0,1,280,1,0,0,13.362,0,,,,,,,1,7,7,"Nicht alles abzugeben, da ich nicht weiíô, was die anderen Teilnehmer bereit sind abzugeben, aber doch mehr als die Hí_lfte da immer noch verdoppelt wird.",1,7,7,7,4,9,4,6,6,6,7,5,4,2,6,6,3,9,7,9,9,9,9,3,7,1,4,5,6,6,6,7,1,4,3,3,0,0,5,10,1,2,1,2,2,Inwieweit der eigene Vorteil im Vordergrund steht mit persí_nlicher Selbsteinschí_tzung und inwiefern Vertrauen eine Rolle bei Entscheidungen spielt.,nein,3,5,3,5,74,2,Dresden,1,51.53640747,9.938995361,-1,,22,1,1,1
R_1QoXMJ9UTzN9CUw,Default Response Set,,,,134.76.136.186,,09.09.2015 09:57,09.09.2015 10:59,1,1,1,0,0,168.098,0,1,10,1,0,0,10.585,0,,,,,,,1,9,1,"Da ein geringerer von mir eingebrachter Betrag zu einem grí_íôeren Verdienst fí_r mich selbst gefí_hrt hat. Und da ich keine der anderen Personen in diesem Raum kenne, ist mir mein eigener Verdienst wichtiger, als der von fremden Menschen. Auíôerdem vermute ich, dass andere Personen ebenfalls wenig Geld eingebracht haben und eher an sich selbst gedacht haben.",1,6,8,9,4,5,8,8,7,6,3,6,3,2,6,2,6,7,6,9,9,8,7,7,7,3,8,7,8,2,7,7,8,4,0,2,0,1,3,8,2,3,3,1,2,"Es sollte gezeigt werden, dass man, wenn man anonym ist und niemand Rí_ckschlí_sse auf seine Handlungen ziehen kann, eher auf sich selbst achtet und egoistisch handelt, indem man lediglich auf seinen eigenen Gewinn Wert legt. Das kann dadurch gezeigt werden, indem man sieht, wie viel Geld jede Person investiert hat. Je weniger Geld sie investiert, desto eher achtet sie auf sich selbst.",nein,4,6,4,3,70,2,"Deutschland, Helsinghausen",0,51.53640747,9.938995361,-1,,26,1,1,1
R_1rfFdBC2qhXz3Vq,Default Response Set,,,,134.76.136.167,,10.09.2015 09:44,10.09.2015 10:52,1,1,1,0,0,57.711,0,1,240,1,0,0,15.392,0,,,,,,,1,9,1,"Schien mir ein guter Kompromiss zu sein aus Risiko, das Geld zu verlieren und der Chance es vermert wieder zu bekommen",1,8,3,9,6,8,7,5,7,6,7,3,6,8,7,6,4,7,8,7,7,8,7,7,8,6,7,8,3,6,8,8,8,4,10,10,0,0,3,7,1,3,1,1,2,"Ziel war es zu zeigen, wie stark das Vertrauen einzelner in eine fremde Gruppe ist. Dies wurde mit dem Geld verteilen und den Fragen danach versucht zu zeigen.","In dieser Studie wurde zu oft betont, dass sie nicht verfí_lscht ist.",3,6,2,5,73,1,"Gí_ttingen, Deutschland",0,51.53640747,9.938995361,-1,,23,1,1,1
R_216Pt2Z2XVRH9ku,Default Response Set,,,,134.76.136.167,,15.09.2015 10:56,15.09.2015 11:51,1,1,1,0,0,38.032,0,1,100,1,0,0,11.198,0,,,,,,,1,9,1,Ich habe mich fí_r den Betrag entschieden da ich denke das die anderen Gruppenmitglieder nicht ihren gesamten Betrag eingesetzt haben. Zudem denke ich das jeder der anderen Gruppenmitglieder seinen eigene Auszahlen so hoch wie mí_glich halten mí_chte. Von daher habe auch ich nicht den gesamten Beitrag gesetzt um mir eine Chance auf eine mí_glichst hohe Auszahlung zu ermí_glichen.,1,3,7,9,8,6,7,7,5,3,1,2,2,1,7,4,6,8,8,9,9,9,9,9,9,3,6,9,7,4,3,3,5,3,9,12,0,0,5,9,3,3,1,1,2,"Ich denke das es darum geht inwiefern man den anderen Teilnehmern vertraut einen hohen Preis gegení_ber anderen Menschen zu zahlen (auf das Geld bezogen), auíôerdem denke ich das es sich um den Zusammenhang zwischen eigener Einschí_tzung und der Einschí_tzung anderer, fremder gegení_ber dreht.",nein,9,6,2,7,71,2,Deutschland,0,51.53640747,9.938995361,-1,,25,1,1,1
R_24CxPXg5whVJ5cu,Default Response Set,,,,134.76.136.60,,11.09.2015 09:49,11.09.2015 11:29,1,1,1,0,0,39.884,0,1,,,,,,,330,1,0,0,12.512,0,1,9,9,"Ich habe ca. 85 Prozent meines Geldes mit der Gruppe geteilt, in der Hoffnung das dies alle machen und jeder mí_glichst viel erhí_lt.\Aufgrund eines geringen Misstrauens habe ich 15 Prozent fí_r mich behalten!",1,8,7,8,7,9,4,7,8,4,8,3,3,2,8,7,7,6,8,9,7,9,9,8,4,5,5,4,9,1,1,3,9,3,15,15,0,5,3,9,3,3,2,1,2,"Es soll gezeigt werden, inwieweit verschiedene Charaktere in der Lage sind egoistisch bzw. selbstlos eine Gruppenarbeit mí_glichst so zu lí_sen, dass alle Gruppenmitglieder etwas davon haben. Sicherlich spielt es auch eine Rolle, dass man die Anderen nicht kennt!","Ich habe Zweifel daran, dass die anderen Gruppenmitglieder ebenfalls so selbstlos waren und den grí_íôten Teil Ihres Geldes der Gruppe gespendet haben.",3,5,4,3,75,2,Windhagen,0,51.53640747,9.938995361,-1,,21,1,1,1
R_25Lcnu2r8wOmHAk,Default Response Set,,,,134.76.136.152,,08.09.2015 15:02,08.09.2015 15:48,1,1,1,3.433,50.975,51.498,5,1,0,1,0,0,16.014,0,,,,,,,1,9,1,ich mí_chte nicht riskieren das mein geld verloren geht und deswegen habe ich nichts fí_r die anderen eingesetzt,1,4,9,8,5,4,9,5,9,3,5,1,5,1,6,4,5,3,9,9,9,9,3,9,9,9,9,9,4,9,4,9,9,1,3,3,0,0,1,1,2,3,1,1,2,durch diese studie wurde man auf sein eigenes verhalten gegení_ber anderen konfrontiert und hat gelernt wie man die anderen und sich selbst im verhí_ltnis setzt,nein,4,3,3,2,77,1,Gí_ttingen,11,51.53640747,9.938995361,-1,,19,1,1,1
R_25t1khXXFDWkt0A,Default Response Set,,,,134.76.136.120,,14.09.2015 12:59,14.09.2015 14:16,1,1,1,0,0,77.337,0,1,,1,9.123,9.954,10.654,2,,,,,,,1,9,1,"ich weiíô nicht, wie sich die anderen Teilnehmer verhalten werden. Mir war es wichtig, erstmal zu testen wie kooperativ die anderen beiden sind.",1,8,9,9,3,8,7,8,8,3,5,1,4,1,6,3,9,7,7,8,9,2,7,6,8,2,2,4,7,5,3,9,5,3,15,15,0,5,5,8,3,1,2,2,2,Das Vertrauenspotenzial gegení_ber fremden Menschen,nein,3,9,9,6,68,2,Schwí_bisch Hall,0,51.53640747,9.938995361,-1,,28,1,0,0
R_25zw2Q3xd1oM6aa,Default Response Set,,,,134.76.136.232,,11.09.2015 09:50,11.09.2015 11:28,1,1,1,0,0,59.312,0,1,,,,,,,0,1,0,0,18.975,0,1,9,1,"ich bin der Meinung, dass niemals alle Beteiligten einer Gruppe komplett uneigenní_tzig handeln und all ihr Geld zur Verfí_gung stellen. Daher bringt es nichts in den Topf einzuzahlen.",1,4,2,8,8,8,6,8,2,3,7,3,7,2,6,7,2,7,8,7,8,9,8,8,7,2,6,9,6,7,7,7,8,4,0,12,0,3,3,7,3,2,1,1,2,Eventuell die Differenz zwischen Egoismus bzw. Teamgeist in der konkreten Situation gegení_ber der allgemeinen theoretischen Charakter-Selbsteinschí_tzung.,nein,5,3,2,6,73,2,Berlin,0,51.53640747,9.938995361,-1,,23,1,1,1
R_29ol6nkshGUb2c5,Default Response Set,,,,134.76.136.62,,10.09.2015 15:42,10.09.2015 16:17,1,1,1,0,0,63.057,0,1,100,1,0,0,14.166,0,,,,,,,1,1,1,"Ich wollte nicht alles beitragen, aber auch nicht nichts. Deswegen habe ich mich fur 100 Cent entschieden.",1,4,4,7,3,7,4,6,4,4,6,2,5,1,4,4,3,8,5,6,8,9,8,3,7,3,7,7,6,5,4,3,5,1,0,1,0,0,3,8,3,2,3,1,2,"Es soll gezeigt werden, wie egoistisch man Unbekannten gegení_ber handelt, indem man entweder viel Profit fí_r einen selber erwirtschaftet oder fí_r die Gruppe.",nein,2,2,2,6,75,2,"Mí_lln, Deutschland",0,51.53640747,9.938995361,-1,,21,1,1,1
R_2AFty5ZF8UptEje,Default Response Set,,,,134.76.136.152,,15.09.2015 09:00,15.09.2015 10:25,1,1,1,0,0,185.643,0,1,400,1,0,0,10.971,0,,,,,,,1,9,1,"Ich halte diese Vorgehensweise fí_r fair, da aus der Versuchsbeschreibung hervorging, dass bei dieser Handlungsweise alle Teilnehmer den hí_chsten, fí_r alle gleichen Gewinn erhalten, und hoffe daher, dass auch die anderen drei Teilnehmer so vorgehen, statt darauf zu spekulieren, dass sie zufí_llig als einziger nichts einzahlen.",1,6,4,8,3,4,6,4,6,6,5,7,4,3,6,2,6,8,7,6,7,8,3,7,6,6,4,9,6,5,7,4,3,2,0,6,0,2,8,8,3,2,1,2,2,"Es soll gezeigt werden, ob Menschen eher nur an ihren eigenen Vorteil oder das Wohl der gesamten Gruppe denken, und ob ihre Selbsteinschí_tzung mit ihrer Entscheidung in Bezug auf den Einsatz des Geldes korreliert.",nein,2,7,9,5,72,2,"Schwerin, Deutschland",0,51.53640747,9.938995361,-1,,24,1,1,1
R_2amkfw5CZTJPZLL,Default Response Set,,,,134.76.136.167,,10.09.2015 15:35,10.09.2015 16:19,1,1,1,0,0,96.578,0,1,108,1,0,0,11.666,0,,,,,,,1,9,1,"Ich spekuliere darauf, dass die anderen alles eingesetzt haben und ich davon profitiere!",1,6,9,9,6,5,8,8,5,1,9,1,5,2,2,4,6,6,1,8,6,8,4,4,8,8,4,1,7,7,1,9,1,2,5,10,0,0,1,4,3,3,3,1,2,"Vermutung! Ich glaube, es ging um die ermittlung von Vertrauen, gerade in monetí_ren Aspekten - wieviel setze ich von meinem Geld fí_r die Gruppe ein, eine Gruppe aus Menschen bestehend, die ich nicht kenne!",Nein,2,6,2,6,64,1,Eisleben/Deutschland,0,51.53640747,9.938995361,-1,,32,1,1,1
R_2aWyZDpmL4vuKhN,Default Response Set,,,,134.76.136.62,,10.09.2015 11:38,10.09.2015 13:14,1,1,1,0,0,72.728,0,1,0,1,0,0,3.939,0,,,,,,,1,9,1,Stabiles Gleichgewicht (Nashgleichgewicht) fí_r das public goods dilemma,1,8,9,9,9,9,7,7,9,3,1,5,1,7,9,9,8,9,6,9,3,9,9,7,4,8,1,9,6,8,2,1,9,5,0,20,0,2,6,8,3,3,3,2,2,Vertrauen in Andere und wieweit man egoistisch handelt,Vermutung: die Spieler spielen nach dem nash gleichgewicht,7,9,7,9,69,1,Hannover,1,51.53640747,9.938995361,-1,,27,1,1,1
R_2axUPXlj4Z8jp9L,Default Response Set,,,,134.76.136.48,,11.09.2015 09:50,11.09.2015 11:26,1,1,1,0,0,75.134,0,1,0,1,0,0,8.601,0,,,,,,,1,9,1,Ich vertraue nicht mehr anderen!,1,9,9,9,8,9,7,4,9,1,9,1,5,1,1,9,1,5,1,9,9,9,5,9,9,4,9,9,9,9,9,7,9,4,10,10,0,5,2,10,3,1,3,1,2,Vermutlich wie weit man sein eigenes ego zurí_ckstellt?\sonst ka,nein,9,7,9,7,72,1,Kassel,0,51.53640747,9.938995361,-1,,24,1,1,1
