V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ICR,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,TPC_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,Un1,Un2
R_1kXMZDRcXtQqLMS,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 15:22,4/13/16 15:33,1,1,1,0,0,54.203,0,1,100,1,7.263,9.642,15.594,2,,,,,,,1,9,1,"No querÕa darlo todo porque no todos lo hacen y perderÕa, pero tampoco no dar nada porque asÕ tambi_n yo recibo algo.",1,9,6,9,7,8,7,7,9,2,4,2,2,1,3,1,5,8,9,9,9,2,8,7,9,4,1,5,6,1,2,1,6,1,2,2,0,0,7,8,1,2,1,2,1,"La individualidad, espÕritu de competiciÑn y la capacidad de la gente de pasar por encima de las otras personas por sus propios intereses.",no,7,9,7,9,77,2,"Barcelona, Espa_a",2,41.38879395,2.158996582,-1,11,1
R_1lAbsASDX2trSZw,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:16,4/14/16 17:29,1,1,1,0,0,93.093,0,1,,,,,,,200,1,10.716,15.294,16.401,2,1,9,1,"Para que el conjunto del grupo ganemos bastante, aunque sea en detrimento de ganar menos yo sola.",1,1,2,6,8,9,9,4,4,1,1,1,1,1,1,1,8,9,9,9,9,7,9,8,9,2,4,5,9,1,2,2,5,3,4,4,0,0,8,9,1,2,3,2,1,Intenta demostrar el individualismo de las personas cuando se trata de dinero. Trata de ver si el egoÕsmo puede delante de la solidaridad y la cooperaciÑn entre personas que pertenecen a un mismo grupo.,"No s_ hasta qu_ punto es legal hacer un estudio apostando con dinero real. Intuyo que serà legal, pero tengo una mÕnima duda.",5,3,9,7,75,2,Barcelona y Espa_a.,0,41.38879395,2.158996582,-1,11,1
R_1mXBl0tCFlGsjkq,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:20,4/14/16 16:29,1,1,1,0,0,67.194,0,1,,,,,,,100,1,22.603,22.603,24.655,1,1,9,1,"Porque si todos ponemos una cantidad prudencial por no fiarnos del todo del resto, obtendremos beneficio y no habremos perdido todo por si alguien no quiere aportar",1,8,4,8,5,9,7,7,8,6,6,7,2,1,8,6,4,7,6,7,6,4,7,7,7,4,4,7,3,6,3,4,8,4,3,3,0,1,4,6,2,1,2,2,2,"La poca confianza en los demàs, en extra_os",no,5,3,5,3,76,2,"Barcelona, Espa_a",1,41.38879395,2.158996582,-1,11,1
R_1N4UonDBkIDCY9T,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:20,4/14/16 16:29,1,1,1,0,0,66.234,0,1,250,1,3.8,3.8,7.478,1,,,,,,,1,9,9,"Por que prefiero que cada uno gane 5ó, y confÕo que los otros participantes habràn pensado lo mismo que yo.",1,3,7,9,6,8,6,6,3,6,7,6,6,1,7,2,9,9,9,8,9,6,9,9,9,2,6,9,4,5,9,5,9,2,3,3,0,0,7,9,1,2,3,2,2,"La solidaridad y la predisposiciÑn a ser bueno/egoÕsta con los demàs, cuando se tiene ocasiÑn. Supongo que intenta demostrarlo con las respuestas de los que hacemos el experimento, viendo en diferentes situaciones como nos comportarÕamos nosotros.",0,9,3,9,3,77,2,Girona,2,41.38879395,2.158996582,-1,11,11
R_1Nqsz32L5vtDFjW,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:16,4/14/16 17:39,1,1,1,0,0,104.828,0,1,,,,,,,25,1,17.403,23.406,24.545,2,1,9,1,"Cuanta menor fuera la contribuciÑn mayor serÕa mi beneficio. Por ende, procedÕ a aportar una contribuciÑn monetaria mÕnima.",1,6,1,9,3,9,5,7,5,3,1,1,1,1,1,5,3,9,9,9,8,5,5,6,3,1,1,6,3,1,5,8,5,1,2,2,0,0,7,10,3,3,3,2,2,Distinguir el grado de individualidad de las personas frente a las contribuciones de grupos sociales màs igualitarios.,"He encontrado que las preguntas planteadas muchas veces no respondÕan a las respuestas proporcionadas, debido a su ambigÙedad en frente de los contextos en los que se pueden dar las distintas afirmaciones.",5,6,2,6,74,2,Barcelona,0,41.38879395,2.158996582,-1,11,1
R_1nU4NzK7soILOnF,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:19,4/14/16 16:34,1,1,1,0,0,51.787,0,1,200,1,7.392,9.96,11.188,2,,,,,,,1,9,1,"Confio en que los otros miembros del grupo aporten una parte importante de su dinero al fondo, pues es lo que màs nos beneficiaria a todos, pero a la vez de guardo 50 cts por desconfianza a que no lo hagan.",1,6,2,8,6,5,7,5,8,6,7,6,3,3,8,5,4,7,3,3,7,3,9,8,5,4,4,2,5,7,7,2,3,2,2,2,0,0,7,9,1,3,2,1,2,"La cantidad de confianza que tenemos con los desconocidos y la diferencia que hay entre la confianza que tenemos con ellos y con aquellos que nos rodean, asÕ como tambi_n nuestro grado de empatÕa.",Si realmente me conozco suficiente para responder algunas de las preguntas.,5,3,5,3,77,1,"Gelida, Barcelona, Espa_a",0,41.38879395,2.158996582,-1,11,1
R_1OjLV82BfTQNZ65,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 15:21,4/13/16 15:32,1,1,1,38.292,45.04,50.655,23,1,180,1,11.04,11.04,12.67,1,,,,,,,1,9,1,"Me gustarÕa ser solidaria, pero sin quedar en el extremo de poder perder màs que los demàs.",1,8,8,8,9,9,6,7,8,7,2,8,1,3,5,4,7,6,6,9,7,2,6,8,7,2,4,5,2,5,2,6,8,2,2,2,0,0,8,9,1,2,1,1,2,"En que medida somos competitivos en esta sociedad, si es màs favorable el trabajo colaborativo o el trabajo individual a nivel humano (es decir, si el ser humano se inclina màs por hacer las cosas por solidaridad o por egoÕsmo).","Me da miedo que los analistas del experimento piensen que me contradigo, por haber aportado 1'8 y pensar que soy generosa. Pero lo soy, lo que ocurre es que tambi_n soy muy cuidadosa con el dinero y con gastarlo, pero para mÕ invertir dinero en otra persona a la que quiero (o la cual me parece buena persona), nunca es un mal gasto de dinero. ",6,3,6,3,78,2,"Valencia, Espa_a",2,41.38879395,2.158996582,-1,11,1
R_1OZTtPKqF68rLAi,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 15:22,4/13/16 15:35,1,1,1,2.43,80.516,188.453,15,1,,,,,,,0,1,6.088,17.696,19.327,2,1,9,1,"Si fuera el Ïnico que aportara, creo que perderÕa en conjunto, siendo màs altas las probabilidades de obtener màs del fondo comÏn si soy el Ïnico que no aporta, o si otra u otras dos personas tampoco lo hacen.",1,2,7,5,9,9,7,9,8,2,3,4,1,1,7,2,6,3,6,8,6,4,3,4,8,2,3,8,6,7,6,1,5,3,4,4,0,0,2,8,2,1,2,1,2,Medir cÑmo puede afectar el grado de confianza hacia otros y de personalidad cooperativa en un marco de elecciÑn y reparto de un bien comÏn pero limitado. Para ello se han usado preguntas acerca de las preferencias en entornos cooperativos o competitivos y tambi_n sobre la confianza depositada en los demàs.,No,2,5,2,5,73,1,Valladolid (Espa_a),1,41.38879395,2.158996582,-1,11,1
R_1Pcq9Q17r0DRy9q,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:17,4/13/16 16:31,1,1,1,0,0,43.115,0,1,,,,,,,0,1,3.811,3.811,8.432,1,1,9,1,No se cual es el objetivo del fondo comÏn. Tampoco se la necesidad que tiene para que tenga que percibir dinero. ,1,7,8,7,7,8,7,6,6,5,6,4,5,3,6,5,7,6,6,7,8,3,7,6,7,5,6,7,6,6,4,5,8,1,0,0,0,0,7,8,1,2,1,2,2,Este estudio intenta demostrar la confianza que tiene la gente respecto a otra gente desconocida. ,NO,5,2,5,2,72,1,"Barcelona, Espa_a",0,41.38879395,2.158996582,-1,11,1
R_1pKmQc21sQ42Hp6,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:19,4/13/16 16:30,1,1,1,39.289,39.289,39.704,1,1,,,,,,,157,1,13.789,13.789,14.945,1,1,4,2,Porque es segÏn lo que he entendido / ,1,6,5,9,6,4,8,8,8,8,9,9,8,9,9,7,9,7,4,9,4,8,7,5,5,4,4,9,3,9,5,9,9,1,2,2,0,0,1,2,3,1,2,1,2,Creo que este estudio intenta demostrar como piensa y interactua la gente dia a dia con las de mas personas y ademàs cuanta confianza hay con la gente que convivimos, / No,9,7,9,5,75,1,India Nueva Delhi,0,41.38879395,2.158996582,-1,5,2
R_1poJqV73inpF78p,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:28,1,1,1,0,0,59.794,0,1,250,1,8.024,8.024,9.263,1,,,,,,,1,9,1,Por colaborar.,1,6,5,8,7,7,6,6,8,3,5,4,3,1,2,4,8,7,8,9,6,4,6,6,5,4,4,4,6,2,6,8,5,3,10,10,0,3,6,8,3,3,2,2,2,CÑmo ser un psicÑpata o ser cooperativo ayuda a ganar màs dinero. Lo intenta demostrar haciendo preguntas sobre confianza y forzàndote a tomar una decisiÑn ràpida.,"Mientras yo hacÕa el test, he oÕdo a mucha gente tecleando. Debe ser que han tomado una decisiÑn distinta.",3,6,3,6,67,1,"Badajoz, Espa_a",0,41.38879395,2.158996582,-1,11,1
R_1PUwh51Rca7Wnhq,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:29,1,1,1,0,0,68.01,0,1,,,,,,,250,1,16.348,16.348,16.998,1,1,9,9,"Considero que si todos estàn aquÕ para obtener ciertos beneficios, pensaràn, a mi punto de vista, que la mejor opciÑn es maximizar al màximo las ganancias posibles, ya que, de esta manera el proceso es mucho màs eficiente y optimo.",1,7,9,8,8,9,7,8,9,4,6,5,4,1,6,4,7,9,7,6,9,8,7,6,5,2,2,8,4,3,1,3,7,1,20,19,0,0,6,7,1,3,1,2,2,Supongo que intenta analizar nuestra toma de decisiones en relaciÑn con nuestra propia ponderaciÑn de intereses y confianza en nuestro en torno,no,2,5,9,3,77,2,ESPAãA,1,41.38879395,2.158996582,-1,11,11
R_1pzMDE078runZuS,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:19,4/13/16 16:33,1,1,1,0,0,59.929,0,1,,,,,,,202,1,7.722,7.722,8.582,1,1,9,1,"DecidÕ aporta tal cantidad por que considero que las otras personas tambi_n habràn aportado y por lo tanto salimos ganando todos debido a que es mejor que lo hagamos todos por igual y no uno solo, que lo gane todo.",1,5,8,8,2,1,7,6,8,9,5,6,4,6,6,8,9,9,8,8,8,2,8,9,2,5,4,9,8,8,8,6,9,3,1,1,0,0,5,6,3,1,2,1,2,"Yo supongo que todo es cuestiÑn de como se tome cada uno las cosas y si prevalece mas su propio ego o los demàs. De alguna manera me vengo a referir a que sÕ una persona no da nada y no quiere repartir entonces piensa en sÕ mismo sin embargo si se hace un bote comÏn, entonces esa cantidad se dobla y tod@s saldrÕamos ganando.",no,3,4,2,4,74,1,Espa_a,0,41.38879395,2.158996582,-1,11,1
R_1QFtQ9E3x47B2f0,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:16,4/14/16 17:26,1,1,1,0,0,72.524,0,1,,,,,,,0,1,10.592,10.592,18.929,1,1,9,1,Para asegurar la mayor cantidad para mÕ.,1,7,6,8,7,8,6,8,8,6,7,6,6,4,7,7,7,6,6,6,7,5,7,7,6,4,5,5,4,6,6,6,7,3,10,10,0,0,3,6,3,3,3,1,2,"Relacionar la forma de ser con la actuaciÑn en la pràctica, ver cuànto confÕa uno en desconocidos.",No.,3,4,4,4,69,1,"Barcelona, Espa_a",1,41.38879395,2.158996582,-1,11,1
R_20N01cjbdH6q8Pj,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:17,4/14/16 17:54,1,1,1,0,0,124.704,0,1,,,,,,,175,1,35.585,35.585,42.15,1,1,4,1,"En un principio querÕa contribuir con dos euros teniendo en cuenta que los otros miembros de mi grupo no contribuirÕan con la totalidad de 2.5ó, de modo que ellos acabarÕan ganando màs que yo; asÕ que decidÕ arriesgar 2 ó pudiendo los demàs no colaborar con nada. Sin embargo, a Ïltimo momento, por miedo a perder, decidÕ arriesgar aÏn menos y colaborar con 1.75, asÕ que en el caso de que todos colaborasen se me doblara en 3,50 màs los 75 cts no arriesgados tendrÕa un total de 4.25ó; de està forma no ganarÕa los 6.25 posibles de ganar, pero tampoco me quedarÕa con los 2.5 o 3.5; asÕ que màs vale ganar, pero poco, que no ganar nada. En conclusiÑn, lo que he hecho han sido unos peque_os càlculos mentales para saber de media qu_ cantidad invertirÕa cada uno y me he dejado llevar un poco por la intuiciÑn y el instinto. Sin embargo, aquÕ juega un factor clave, que es el azar porque no conozco a nadie de la sala ni tampoco tengo idea de quienes son los otros cuatro compa_eros de la sala que interactuan conmigo en el mismo experimento. Ademàs, personalmente tengo unas acciones en una empresa de cosm_ticos, que supongo que en parte me ha llevado a tomar està decisiÑn; ya que a veces arriesgaba mucho y perdÕa por querer tener dinero fàcil a corto plazo, pero ahora a base de la experiencia he entendido que màs vale ganar poco y seguro, que arriesgarlo todo. ",1,7,3,8,8,8,4,5,6,2,3,2,6,2,5,2,5,9,8,8,9,8,7,9,9,7,3,7,4,1,8,8,8,1,0,0,0,0,4,7,2,1,2,2,2,"Creo que _ste estudio lo que intenta demostrar es la conducta de las personas en un determinada situaciÑn; es decir, una persona dependiendo de su actitud y de su caràcter velarÕa màs por su propio inter_s o no, en este caso nos ponen un experimento econÑmico ya que aquÕ el objetivo de todos es ganar dinero, y concretamente ganar lo màs posible. Por ello tomamos una decisiÑn u otra dependiendo de si se es màs egoÕsta o menos.; aunque por lo general, los humanos somos utilitaristas, por mucho que queramos a los demàs, nuestro inter_s va primero. ",No,3,2,9,6,78,2,Barcelona,0,41.38879395,2.158996582,-1,9,1
R_214a1gfRkV4Ahqq,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:16,4/14/16 17:35,1,1,1,0,0,127.607,0,1,151,1,5.741,10.115,10.918,5,,,,,,,1,9,9,"Ni querÕa quedarme con todo el dinero para mi misma ni dar todo el dinero al grupo, asÕ que he elegido algo en el medio màs o menos.",1,5,7,8,4,3,5,2,6,7,7,7,3,1,5,1,7,2,1,8,6,6,3,5,7,1,2,1,1,3,5,5,6,3,7,7,0,1,3,5,3,1,2,2,2,El estudio presente supuestamente quiere encontrar relaciones entre las caracterÕsticas de las personas y hasta donde estàn dispuestos a compartir dinero vs. con cuanto dinero prefieren quedarse. Tal vez el estudio quiere comparar la auto-evaluaciÑn de una persona vs. su comportamiento en realidad.,Dudaba que estoy jugando con 3 personas màs aquÕ.,9,6,2,6,68,2,"Hamm, Alemania",0,41.38879395,2.158996582,-1,11,11
R_22ENotKoa1ZrORb,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:33,1,1,1,0,0,87.08,0,1,,,,,,,200,1,16.907,16.907,19.19,1,1,4,1,Para que nadie se quede sin dinero pero yo logre obtener mayor cantidad,1,8,1,9,9,7,8,7,5,3,5,2,1,7,3,1,8,7,9,9,9,3,9,6,8,3,7,1,7,5,9,6,9,1,1,1,0,0,5,9,3,2,2,2,2,"Creo que querÕa averiguar qu_ perspectiva tiene cada uno sobre los demàs y el resto de poblaciÑn en general. SegÏn la contestaciÑn de las preguntas que se realizan, se puede conocer si el sujeto suele confiar o no en el resto. ",no,9,4,5,3,75,2,Barcelona,1,41.38879395,2.158996582,-1,1,1
R_22GnKIETnNsnhXW,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:30,1,1,1,0,0,113.341,0,1,,,,,,,48,1,10.591,10.591,11.714,1,1,9,9,indiferente,1,6,1,6,9,9,9,9,8,8,7,9,6,7,7,7,3,6,7,9,5,9,7,6,7,1,1,8,1,6,2,9,9,3,15,15,0,0,3,7,2,2,2,1,2,este estudio intentaba demostrar como las personas somos capaces de sacrificar nuestra voluntad para el beneficio comÏn.,no,5,5,3,4,75,2,Espa_a,2,41.38879395,2.158996582,-1,11,11
R_22SlWUzAPAnlWCU,Default Response Set,Anonymous,,,193.145.56.242,0,4/15/16 17:11,4/15/16 17:26,1,1,1,0,0,73.655,0,1,135,1,8.865,17.467,18.623,4,,,,,,,1,4,1,"EscogÕ contribuir con 1,35 porque creo que es màs probable que los otros dos miembros con los que interactÏo decidan aportar una cantidad media (ni poco ni mucho) ya que asÕ ellos se enriqueceràn màs, pensando que los demàs aportaran 2,50.",1,4,7,9,8,6,5,6,6,2,6,2,4,1,6,2,9,7,8,9,8,6,8,7,5,2,2,6,7,5,2,8,8,3,6,6,0,0,4,6,3,2,1,1,2,Intenta demostrar el grado de confianza en desconocidos a trav_s de la toma de decisiones.,no,3,5,4,5,77,2,Barcelona,0,41.38879395,2.158996582,-1,7,1
R_24nMHOfeqFETh6g,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:31,1,1,1,0,0,60.571,0,1,,,,,,,250,1,3.245,3.245,4.495,1,1,9,9,"Porque considerando todas la posibilidades, las posibles decisiones de mis compa_eros, y sabiendo el riesgo que corrÕa aportando el total al fondo comÏn, consider_ que la Ïnica manera de ganar el màximo era arriesgàndome al màximo. Como se dice en mi pueblo ""El que no arriesga no gana"", y dado que he venido aquÕ sin nada tampoco pasarà nada si me voy igual.",1,7,8,9,8,8,5,7,8,2,5,2,5,5,1,5,8,8,8,5,8,2,8,7,5,1,1,2,6,5,1,5,5,1,1,1,0,0,7,7,3,3,3,1,2,"çPuff!, pues la verdad es que me he centrado tanto en las preguntas que no me he parado a pensar mucho en lo que el estudio intenta demostrar...pero supongo que va bastante encaminado a analizar los niveles de confianza en los demàs, la autoestima, lo que nos valoramos a nosotros y valoramos a los demàs, tanto a desconocidos como a la gente que nos rodea, y hasta que niveles estamos condicionados o atados por valores o normas sociales.","Pues no tengo ninguna, podrÕa empezar ahora de tanto preguntar, pero creo que no tiene màs que la intenciÑn de medir hasta que punto estos ""avisos"" pueden acabar generando duda en nosotros.",9,4,4,4,70,1,"çvila, Espa_a",0,41.38879395,2.158996582,-1,11,11
R_25F8AAMgDwc3LOZ,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:24,1,1,1,0,0,67.52,0,1,50,1,8.409,8.409,15.147,1,,,,,,,1,9,1,Porque no confÕo en que el resto del grupo aporte la totalidad del bote.,1,6,6,8,5,6,9,7,7,5,6,3,5,4,7,5,4,8,7,7,8,7,9,9,9,7,9,9,8,6,1,7,9,1,0,0,0,0,4,6,2,1,3,2,1,Intentaba descubrir qu_ intereses priman; si el propio o el de la colectividad. Tambi_n si se puede confiar o no con la otra gente y lo intentaba demostrar con un supuesto real a ver si lo dàbamos todo a la colectividad o si dàbamos poco. ,No,6,2,4,4,76,2,"Vic, Espa_a",2,41.38879395,2.158996582,-1,11,1
R_25MylbtJgSVnutk,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 13:13,4/13/16 13:26,1,1,1,0,0,62.195,0,1,,,,,,,50,1,29.417,29.417,33.612,1,1,9,1,ElegÕ solo aportar 50 c_ntimos para tener un margen màs grande para mi. ,1,8,9,9,9,9,9,8,9,9,7,7,8,6,9,9,5,7,9,9,9,6,9,5,9,4,4,3,4,6,6,4,9,2,1,4,0,0,4,7,3,3,3,2,2,"Yo creo que este estudio intenta analizar como el ser humano actÏa frente este tipo de situaciones, es decir, hoy en dÕa todo està dominado por la economÕa y, por lo tanto, las personas deben en muchas ocasiones elegir entre dinero y bienestar. Esto esta cambiando sociedades y su manera de actuar respecto a las generaciones anteriores. Por eso, es importante actualizarse y aprender de las tomas de decisiÑn de las nuevas generaciones. ",No,9,9,5,9,70,2,"Deltebre, Espa_a",0,41.38879395,2.158996582,-1,11,1
R_25WvootcgMdl55z,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:12,4/13/16 14:25,1,1,1,0,0,95.921,0,1,,,,,,,250,1,19.985,25.023,25.843,2,1,9,1,Contribui pensando que el otro sujeto colaborarà para que ambos podamos obtener el màximo de ganancias sin que el otro pierda,1,7,9,9,9,7,9,9,7,5,7,4,2,5,9,2,5,9,7,7,9,5,9,9,8,7,4,2,6,5,3,6,9,2,1,1,0,0,7,8,1,3,2,2,2,Creo que intentaba demostrar el grado de confianza que un sujeto tiene con un desconocido y como funcionan las interacciones en las que se encuentra un dilema entre beneficio personal y beneficio colectivo,NO,7,5,3,2,74,1,"Barcelona, Espa_a",0,41.38879395,2.158996582,-1,11,1
R_25YzPff33KJ0YW5,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:31,1,1,1,0,0,130.609,0,1,250,1,5.08,5.08,6.169,1,,,,,,,1,9,1,Para que todos ganemos por igual.,1,6,5,7,7,2,4,3,2,7,5,8,1,1,6,3,4,3,4,6,7,7,8,3,5,3,2,7,2,5,3,5,7,3,5,5,0,0,2,5,3,3,2,1,2,"Entiendo que intenta demostrar las relaciones sociales entre los seres humanos. CÑmo eligen a las personas que les rodean, si confÕan en ellos, si estàn abiertos a conocer màs gente, etc.  / Lo intenta demostrar mediante las preguntas del cuestionario donde te hacen pensar sobre la confianza que tienes en las personas. ","Sospecho que las personas no contestaràn sinceramente las preguntas puesto que està mal visto el que no se confÕe en los demàs, ser una persona competitiva y sobre todo ser un poco prepotente. ",4,4,2,3,69,2,"Palencia, Espa_a",1,41.38879395,2.158996582,-1,11,1
R_273bFMXHgc5K4vz,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:16,4/14/16 17:26,1,1,1,2.865,73.911,74.959,2,1,0,1,7.595,15.196,16.326,2,,,,,,,1,9,1,El inter_s personal y la desconfianza en el resto de participantes.,1,8,1,7,4,7,7,6,7,2,1,2,2,1,2,1,2,8,9,9,7,1,7,7,7,1,3,1,7,3,5,4,7,3,5,5,0,0,9,9,1,3,2,1,2,"Yo creo que intentaba demostrar como actuamos cuando hay dinero de por medio con gente que no conocemos, y por eso hace un experimento con variables econÑmicas y se hacen esas preguntas.",No,6,2,6,2,76,1,"Palma de Mallorca, Espa_a",1,41.38879395,2.158996582,-1,11,1
R_28BW1kKZd3spLWz,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:26,1,1,1,0,0,51.812,0,1,,,,,,,0,1,74.291,74.291,76.23,1,1,9,1,"Hay 3 participantes. Si no contribuyo, tengo asegurados 2,5 euros. En cambio, si contribuyo y mis compa_eros no, tendr_ 0 euros. Por tanto, es mejor asegurar-me los 2,5 euros que no arriesgar-me a tener 0.",1,6,2,9,9,8,6,9,9,1,5,2,7,1,7,9,6,8,8,7,8,6,7,7,8,1,1,5,4,2,1,3,4,3,3,3,0,0,7,9,1,2,2,2,2,Intenta demostrar si en la toma de dicisiones el sujeto que la toma piensa màs en si mismo o en el grupo en conjunto. ,No,3,6,9,6,77,1,"Barcelona, Espanya",0,41.38879395,2.158996582,-1,11,1
R_28MA7WOo5ibsnGs,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:20,4/14/16 16:34,1,1,1,0,0,157.262,0,1,200,1,7.157,7.157,8.443,1,,,,,,,1,4,9,"La cantidad que aport_ es la cantidad en la cual todos saldrÕamos beneficiados en igual cantidad, ademàs de los 2ó que aport_ 0'5ó no los aport_ por si algÏn miembro del equipo no aporta todo su capital y los demàs acabamos perjudicados",1,4,8,8,6,5,7,7,5,6,4,4,4,4,8,5,8,6,8,9,8,5,8,8,7,6,6,6,7,4,6,5,9,1,1,1,0,0,3,7,3,2,1,1,2,"Este estudio intenta comprobar el comportamiento del individuo y sus valores en sociedad, mediante la toma de decisiones.",La relaciÑn entre preguntas,4,5,4,5,75,2,"Badalona, Espa_a",0,41.38879395,2.158996582,-1,7,9
R_29sZ60d29VCeUi5,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 13:12,4/13/16 13:24,1,1,1,0,0,81.445,0,1,,,,,,,250,1,64.615,97.159,97.905,4,1,9,1,"ElegÕ aportar 2,50 E ya que es mediante la aportaciÑn de dicha cantidad como el conjunto del grupo maximiza sus beneficios. Aportando 2.50 ó es como todos ganamos mas. ",1,7,3,5,9,8,8,7,7,1,1,1,1,2,7,3,8,9,8,9,8,2,9,9,9,1,2,7,7,6,3,4,8,5,5,5,0,0,6,8,3,2,3,2,2,"Pienso que el presente estudio intentaba demostrar como en determinadas situaciones el ser humano puede actuar de forma egosita en detrimiento del beneficio del grupo, y en otras de forma altruistra beneficiando a todos. Mediante el ejercicio de la puesta en comÏn de dinero, donde interactÏan varias personas.",NO,6,2,6,2,76,1,"Barcelona, Catalunya",1,41.38879395,2.158996582,-1,11,1
R_29trn52CIDgRkQ4,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:20,4/14/16 16:34,1,1,1,0,0,71.265,0,1,,,,,,,152,1,15.596,48.852,50.093,6,1,9,1,"He puesto 150. Realmente pondrÕa 250 pero no me fio ni un pelo de los demàs asÕ que me aseguro al menos 100 para mi. Espero que los demàs pongan 150 como yo o màs, pero seguro que hay algÏn rata que pone 50 o 100.",1,8,5,9,8,9,8,8,9,1,8,1,6,7,8,8,4,9,1,9,9,9,9,8,9,3,1,1,7,5,9,5,5,5,9,9,0,0,8,8,1,2,3,2,1,"CÑmo todos pensamos primero en nosotros mismos. Que no confiamos entre nosotros, desconocidos. Todos queremos tener el màximo de dinero con un riesgo mÕnimo.",no,7,9,7,9,76,2,"Barcelona, Espa_a.",0,41.38879395,2.158996582,-1,11,1
R_2aCDsTUJsjNHolC,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 17:16,4/14/16 17:33,1,1,1,0,0,101.847,0,1,151,1,7.912,7.912,8.9,1,,,,,,,1,9,1,"Con el objetivo de no arriesgar todo el dinero disponible, pero a_adiendo una cantidad bastante cÑmoda. Este experimento me recuerda a los fundamentos de la Teoria de Juegos de Nash.",1,6,4,8,7,7,8,7,7,5,6,4,5,7,7,7,3,7,7,7,7,3,7,8,7,6,4,9,7,5,4,6,8,1,5,5,0,0,5,8,3,2,2,2,2,"El estudio intentaba demostrar el grado de confianza en 3 personas desconocidas de un sujeto a trav_s de a_adir màs o menos dinero en un bote comÏn. Como màs confiado sea màs dinero aportarà, porque cree que los otros 3 tambi_n habràn aportado el màximo para que la reparticiÑn sea equitativa y suficientemente sustancial. Como menos confiado sea, menos invertirà, queriendo asÕ maximizar su ganancia en detrimento de la de los demàs.",No,5,3,5,3,76,1,"Vilassar de Mar, Catalunya",0,41.38879395,2.158996582,-1,11,1
