"experiment","site","n","r","z","vz","d","vd","replicated","cirep","meta","stat","pvalo","pvalr","exp_name","es"
"E Nurmsoo","E Nurmsoo_rep",8,-0.450187899,-0.484935913612849,0.2,-1.00833426883345,0.716676856814841,0,0,1,"t",0.00292708,0.191700924,"Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?","z"
"E Vul","E Vul_rep",140,0.322727228,0.334688430685667,0.0072992700729927,0.681943899266829,0.0321226437535773,1,1,1,"t",0.000118,9.5e-05,"Measuring the crowd within: Probabilistic representations within individuals.","z"
"EJ Masicampo","EJ Masicampo_rep",166,-0.048918238,-0.0489573144713753,0.00613496932515337,-0.0979537475651025,0.0243005753737094,0,0,0,"F",0.023051359,0.539024693,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.","z"
"G Hajcak","G Hajcak_rep",43,0.25,0.255412811882995,0.025,0.516397779494322,0.101587301587302,0,1,1,"r",0.01713346,0.053115031,"Errors Are Aversive: Defensive Motivation and the Error-Related Negativity","z"
"GA Alvarez","GA Alvarez_rep",17,0.922934494,1.60847594653146,0.0714285714285714,4.79499999744312,1.68700156096747,1,0,1,"t",0.02809598,4.9e-08,"The representation of simple ensemble visual features outside the focus of attention","z"
"GP Lau","GP Lau_rep",70,-0.034279559,-0.0342929956428472,0.0149253731343284,-0.0685994350396289,0.0580392156882283,0,0,0,"F",0.02067727,0.778156632,"Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.","z"
"J Winawer","J Winawer_rep",26,0.527307869,0.58640880552693,0.0434782608695652,1.24120000039835,0.221623097639554,1,1,1,"t",2.93e-05,0.004708112,"A motion aftereffect from still photographs depicting motion","z"
"JA Richeson","JA Richeson_rep",66,0.017674908,0.0176767489061405,0.0158730158730159,0.0353553389772755,0.0615576923076031,0,0,0,"F",0.051411614,0.887981301,"The threat of appearing prejudiced and race-based attentional biases.","z"
"JS Nairne","JS Nairne_rep",38,0.423363806,0.451783336020072,0.0285714285714286,0.934619448736598,0.131716581458289,1,1,1,"F",0.025570456,0.007242548,"Adaptive memory: The comparative value of survival processing.","z"
"JT Larsen","JT Larsen_rep",238,0.500179963,0.549546123796944,0.00425531914893617,1.15525478046425,0.0225089181763102,1,0,1,"t",0.023,2.41e-16,"Is happiness having what you want, wanting what you have, or both?","z"
"KA Ranganath","KA Ranganath_rep",3597,0.105891025,0.10628949138422,0.000278241513633834,0.21297947587915,0.001124961139362,0,0,1,"t",0.912448643,3.14e-10,"Implicit attitude generalization occurs immediately; explicit attitude generalization takes time","z"
"KD Vohs","KD Vohs_rep",58,0.102355162,0.102714869812966,0.0181818181818182,0.205791155979883,0.0709184210505182,0,0,1,"t",0.005086904,0.444536036,"The value of believing in free will: Encouraging a belief in determinism increases cheating.","z"
"N Halevy","N Halevy_rep",120,0.652982567,0.780480766803962,0.00854700854700855,1.7243356192158,0.0585994397285407,1,1,1,"F",2.1e-16,8.85e-06,"ñIn_Group Loveî and ñOut_Group Hateî as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm","z"
"N Janssen 2","N Janssen 2_rep",12,0.497082522,0.545423705409234,0.111111111111111,1.14574310982417,0.48297520670087,0,1,1,"t",0.006420541,0.083950437,"A word-order constraint on phonological activation","z"
"P Bressan 1","P Bressan 1_rep",263,-0.030172295,-0.0301814559621975,0.00384615384615385,-0.0603720766419469,0.0152810869757178,0,0,0,"F",0.008092031,0.627520896,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk","z"
"P Bressan 2","P Bressan 2_rep",318,0.018283411,0.0182854486872587,0.00317460317460317,0.0365729353683726,0.0126225160239794,0,0,0,"F",0.008092031,0.74612573,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk","z"
"S Forti","S Forti_rep",19,0.207514339,0.210572424096054,0.0625,0.424264068370467,0.232222222206126,0,0,1,"F",0.002344469,0.380003702,"Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field","z"
"S Schnall","S Schnall_rep",126,0.002839798,0.00283980563384237,0.00813008130081301,0.00567961890155511,0.0320002580645669,0,0,0,"F",0.007866967,0.974823723,"With a clean conscience: Cleanliness reduces the severity of moral judgments.","z"
"SE Palmer","SE Palmer_rep",8,0.120073568,0.120655671934318,0.2,0.241897263549382,0.579787755158954,0,0,1,"t",0.002971641,0.758308044,"Extremal edge: a powerful cue to depth perception and figure-ground organization","z"
"SJ Heine","SJ Heine_rep",16,0.11,0.110446915790097,0.0769230769230769,0.221343201923522,0.269932854202517,1,1,1,"r",0.000166938,0.690466537,"What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness","z"
"SK Moeller","SK Moeller_rep",72,-0.034,-0.0340131104279282,0.0144927536231884,-0.0680393381094283,0.0564032303032446,0,0,0,"r",0.023414774,0.777533992,"Personality dominance and preferential use of the vertical dimension of space","z"
"T Goschke","T Goschke_rep",95,0.411336583,0.437218946739661,0.0108695652173913,0.902565042441179,0.051219400594009,1,1,1,"F",0.017182464,3.46e-05,"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.","z"
"V Lobue","V Lobue_rep",48,0.177837588,0.179748763345337,0.0222222222222222,0.361436527749323,0.0878858800764146,0,0,1,"F",0.000665379,0.237041962,"Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.","z"
"Z Estes","Z Estes_rep",22,0.25414164,0.259835474573725,0.0526315789473684,0.525538272411879,0.203628117893793,0,1,1,"F",0.007169828,0.241925362,"Head up, foot down: Object words orient attention to the objects' typical location.","z"
